92,8,0,0,0,0
84,16,0,0,0,0
76,24,0,0,0,0
68,32,0,0,0,0
60,40,0,0,0,0
52,48,0,0,0,0
44,56,0,0,0,0
36,64,0,0,0,0
28,72,0,0,0,0
20,80,0,0,0,0
12,88,0,0,0,0
4,96,0,0,0,0
0,100,0,0,0,0
-1,92,8,0,0,0
-1,84,16,0,0,0
-1,76,24,0,0,0
-1,68,32,0,0,0
-1,60,40,0,0,0
-1,52,48,0,0,0
-1,44,56,0,0,0
-1,36,64,0,0,0
-1,28,72,0,0,0
-1,20,80,0,0,0
-1,12,88,0,0,0
-1,4,96,0,0,0
-1,0,100,0,0,0
-1,-1,92,8,0,0
-1,-1,84,16,0,0
-1,-1,76,24,0,0
-1,-1,68,32,0,0
-1,-1,60,40,0,0
-1,-1,52,48,0,0
-1,-1,44,56,0,0
-1,-1,36,64,0,0
-1,-1,28,72,0,0
-1,-1,20,80,0,0
-1,-1,12,88,0,0
-1,-1,4,96,0,0
-1,-1,0,100,0,0
-1,-1,-1,92,8,0
-1,-1,-1,84,16,0
-1,-1,-1,76,24,0
-1,-1,-1,68,32,0
-1,-1,-1,60,40,0
-1,-1,-1,52,48,0
-1,-1,-1,44,56,0
-1,-1,-1,36,64,0
-1,-1,-1,28,72,0
-1,-1,-1,20,80,0
-1,-1,-1,12,88,0
-1,-1,-1,4,96,0
-1,-1,-1,0,100,0
-1,-1,-1,-1,92,8
-1,-1,-1,-1,84,16
-1,-1,-1,-1,76,24
-1,-1,-1,-1,68,32
-1,-1,-1,-1,60,40
-1,-1,-1,-1,52,48
-1,-1,-1,-1,44,56
-1,-1,-1,-1,36,64
-1,-1,-1,-1,28,72
-1,-1,-1,-1,20,80
-1,-1,-1,-1,12,88
-1,-1,-1,-1,4,96
-1,-1,-1,-1,0,100
-1,-1,-1,-1,-1,92
-1,-1,-1,-1,-1,84
-1,-1,-1,-1,-1,76
-1,-1,-1,-1,-1,68
-1,-1,-1,-1,-1,60
-1,-1,-1,-1,-1,52
-1,-1,-1,-1,-1,44
-1,-1,-1,-1,-1,36
-1,-1,-1,-1,-1,28
-1,-1,-1,-1,-1,20
-1,-1,-1,-1,-1,12
-1,-1,-1,-1,-1,4
-1,-1,-1,-1,-1,0
